,City,Price(TL),ListingDate,Brand,Series,Model,Year,Kilometers,GearType,FuelType,BodyType,Color,EngineSize,EnginePower,DriveType,TradeInStatus,SellerType,VehicleTax(),District,DaysSinceListing,NumOriginalParts,NumLocalPaintedParts,NumPaintedParts,NumChangedParts,NumUnknownParts,HasDamage,HasHighDamage,DamageCost
3470,Kayseri,420000,2025-04-06 00:00:00,Peugeot,206+,1.4 Comfort,2011,152500.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Melikgazi,8,0,1,1,1,10,,0,
3471,Gaziantep,300000,2025-04-06 00:00:00,Peugeot,206,1.4 Feline,2006,239000.0,Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Şehitkamil,8,4,0,0,4,5,1.0,0,7000.0
3472,Gaziantep,390000,2025-04-06 00:00:00,Peugeot,207,1.4 HDi Trendy,2007,325000.0,Düz,Dizel,Hatchback/5,Yeşil,1398.0,71.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Şahinbey,8,13,0,0,0,0,,0,
3473,Konya,340000,2025-04-06 00:00:00,Peugeot,307,1.4 HDi XR,2005,283000.0,Düz,Dizel,Hatchback/5,Beyaz,1398.0,69.0,Önden Çekiş,Takasa Uygun,Galeriden,436.0,Karatay,8,12,1,0,0,0,0.0,0,
3474,Ankara,505000,2025-04-06 00:00:00,Peugeot,206,1.6 Quicksilver,2005,158000.0,Düz,Benzin,Hatchback/3,Gri (Gümüş),1587.0,110.0,Önden Çekiş,Takasa Uygun,Sahibinden,436.0,Keçiören,8,0,3,0,0,10,0.0,0,
3475,İstanbul,695000,2025-04-06 00:00:00,Peugeot,508,1.6 THP Active,2012,123000.0,Düz,Benzin,Sedan,Siyah,1598.0,158.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Arnavutköy,8,0,0,2,0,11,1.0,0,2000.0
3476,Hatay,300000,2025-04-06 00:00:00,Peugeot,206,1.4 Color Line,2001,278000.0,Düz,LPG & Benzin,Hatchback/5,Mavi,1360.0,76.0,Önden Çekiş,Takasa Uygun,Sahibinden,436.0,İskenderun,8,13,0,0,0,0,1.0,0,1500.0
3477,Bursa,1565000,2025-04-06 00:00:00,Peugeot,508,1.5 BlueHDI Allure,2023,91000.0,Otomatik,Dizel,Sedan,Gri (Gümüş),1499.0,130.0,Önden Çekiş,Belirtilmemis,Sahibinden,10112,Osmangazi,8,13,0,0,0,0,0.0,0,
3479,Hatay,280000,2025-04-06 00:00:00,Peugeot,206,1.4 HDi X-line,2004,285000.0,Düz,Dizel,Hatchback/5,Gri (Gümüş),1398.0,71.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Antakya,8,7,1,5,0,0,0.0,0,
3480,Batman,1550000,2025-04-06 00:00:00,Peugeot,508,1.5 BlueHDI Allure,2022,108000.0,Otomatik,Dizel,Sedan,Beyaz,1499.0,130.0,Önden Çekiş,Belirtilmemis,Sahibinden,10112,Merkez,8,13,0,0,0,0,1.0,0,52000.0
3481,Düzce,1569000,2025-04-06 00:00:00,Peugeot,308,1.2 PureTech GT,2023,19000.0,Otomatik,Benzin,Hatchback/5,Siyah,1199.0,132.0,Önden Çekiş,Belirtilmemis,Sahibinden,5803,Merkez,8,13,0,0,0,0,,0,
3482,Antalya,410000,2025-04-06 00:00:00,Peugeot,207,1.4 HDi Trendy,2008,307000.0,Düz,Dizel,Hatchback/5,Gri,1398.0,71.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Kepez,8,0,0,0,0,13,1.0,0,7000.0
3483,İstanbul,600000,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Active,2015,135000.0,Düz,Dizel,Sedan,Füme,1560.0,93.0,Önden Çekiş,Belirtilmemis,Sahibinden,3661,Fatih,8,0,4,6,2,1,1.0,0,4500.0
3484,Erzurum,335000,2025-04-06 00:00:00,Peugeot,206,1.4 Comfort,2008,172000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Oltu,8,0,0,1,1,11,,0,
3485,Bursa,290000,2025-04-06 00:00:00,Peugeot,206,1.4 X-Design,2006,177000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Nilüfer,8,0,0,0,2,11,,0,
3486,Antalya,588000,2025-04-06 00:00:00,Peugeot,308,1.6 e-HDi Active,2012,225000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1560.0,114.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Kepez,8,0,1,2,1,9,,0,
3487,İzmir,300000,2025-04-06 00:00:00,Peugeot,307,1.6 XT,2003,228000.0,Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1587.0,110.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,993,Buca,8,0,0,2,0,11,1.0,1,
3488,Antalya,315000,2025-04-06 00:00:00,Peugeot,206,1.4 HDi X-line,2005,286000.0,Düz,Dizel,Hatchback/5,Gri,1398.0,69.0,Önden Çekiş,Takasa Uygun,Sahibinden,436.0,,8,6,4,2,1,0,,0,
3489,Eskişehir,370000,2025-04-06 00:00:00,Peugeot,207,1.4 HDi Trendy,2007,256000.0,Düz,Dizel,Hatchback/5,Yeşil,1398.0,71.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,436.0,,8,6,0,6,1,0,1.0,0,6000.0
3490,Ankara,1430000,2025-04-06 00:00:00,Peugeot,308,1.2 PureTech Allure,2023,10333.0,Otomatik,Benzin,Hatchback/5,Yeşil (metalik),1199.0,132.0,Önden Çekiş,Takasa Uygun Değil,Galeriden,2.545,Keçiören,8,13,0,0,0,0,0.0,0,
3491,Hatay,435000,2025-04-06 00:00:00,Peugeot,308,1.6 HDi Comfort Pack,2011,257000.0,Otomatik,Dizel,Hatchback/5,Lacivert,1560.0,112.0,Önden Çekiş,Takasa Uygun,Sahibinden,1.135,Arsuz,8,0,0,5,0,8,1.0,0,28000.0
3492,Ankara,485000,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Allure,2013,235000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Çubuk,8,0,1,2,1,9,1.0,0,21000.0
3493,İstanbul,835000,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Allure,2017,72000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,Önden Çekiş,Takasa Uygun,Sahibinden,3661,Ümraniye,8,13,0,0,0,0,,0,
3494,İzmir,397000,2025-04-06 00:00:00,Peugeot,207,1.6 HDi Active,2011,192000.0,Düz,Dizel,Station wagon,Siyah,1560.0,91.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,,8,0,0,3,0,10,1.0,0,12000.0
3495,Şanlıurfa,265000,2025-04-06 00:00:00,Peugeot,206,1.4 Comfort,2009,226000.0,Düz,LPG & Benzin,Sedan,Gri,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Haliliye,8,0,0,8,3,2,0.0,0,
3496,Aydın,330000,2025-04-06 00:00:00,Peugeot,206,1.4 XR,2000,169000.0,Otomatik,LPG & Benzin,Hatchback/5,Yeşil,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Efeler,8,0,0,0,0,13,,0,
3497,İstanbul,575000,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Active,2015,182000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,Önden Çekiş,Belirtilmemis,Sahibinden,3661,Başakşehir,8,0,0,1,0,12,1.0,0,6100.0
3498,Mersin,300000,2025-04-06 00:00:00,Peugeot,206,1.4 X-Line,2004,224000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Akdeniz,8,6,0,5,2,0,1.0,0,3250.0
3499,Ankara,628000,2025-04-06 00:00:00,Peugeot,301,1.6 BlueHDI Allure,2018,199000.0,Düz,Dizel,Sedan,Beyaz,1560.0,102.0,Önden Çekiş,Belirtilmemis,Sahibinden,4389,Sincan,8,13,0,0,0,0,0.0,0,
3500,İzmir,290000,2025-04-06 00:00:00,Peugeot,206,1.4 HDi X-line,2004,280000.0,Düz,Dizel,Hatchback/5,Beyaz,1398.0,69.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Çiğli,8,0,0,0,0,13,1.0,0,2600.0
3502,İstanbul,560750,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Active,2018,193750.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,Önden Çekiş,Belirtilmemis,Sahibinden,4389,Avcılar,8,0,1,0,0,12,,0,
3503,Tekirdağ,490000,2025-04-06 00:00:00,Peugeot,301,1.2 VTi Access,2014,115000.0,Düz,Benzin,Sedan,Beyaz,1199.0,73.0,Önden Çekiş,Belirtilmemis,Sahibinden,71882,Çerkezköy,8,0,1,3,0,9,0.0,0,
3504,İstanbul,320000,2025-04-06 00:00:00,Peugeot,307,1.6 HDi Premium,2005,275000.0,Düz,Dizel,Station wagon,Gri,1560.0,112.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,436.0,Küçükçekmece,8,13,0,0,0,0,,0,
3505,Kayseri,325000,2025-04-06 00:00:00,Peugeot,307,1.4 HDi Envy,2004,278000.0,Düz,Dizel,Hatchback/5,Siyah,1398.0,69.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Melikgazi,8,0,0,0,0,13,,0,
3506,İstanbul,700000,2025-04-06 00:00:00,Peugeot,301,1.2 PureTech Active,2019,32000.0,Düz,Benzin,Sedan,Beyaz,1199.0,83.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,4042,Maltepe,8,13,0,0,0,0,,0,
3507,Antalya,480000,2025-04-06 00:00:00,Peugeot,207,1.4 HDi Premium,2007,225000.0,Düz,Dizel,Hatchback/5,Gri,1398.0,71.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Kepez,8,0,1,1,1,10,1.0,0,9000.0
3508,Adana,265000,2025-04-06 00:00:00,Peugeot,206,1.4 XT,2000,208000.0,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Seyhan,8,1,0,10,2,0,,0,
3509,Ordu,320000,2025-04-06 00:00:00,Peugeot,206,1.4 Comfort,2007,161000.0,Düz,LPG & Benzin,Sedan,Gri,1360.0,76.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,436.0,Ünye,8,0,0,0,0,13,,0,
3511,Ankara,358500,2025-04-06 00:00:00,Peugeot,307,1.6 XT,2003,330000.0,Otomatik,Benzin,Hatchback/5,Lacivert,1587.0,110.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Keçiören,8,13,0,0,0,0,1.0,0,3000.0
3512,Ankara,634000,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Active,2017,162000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,Önden Çekiş,Belirtilmemis,Sahibinden,3661,Sincan,8,13,0,0,0,0,0.0,0,
3513,Balıkesir,1180000,2025-04-06 00:00:00,Peugeot,308,1.2 PureTech Style,2020,18100.0,Otomatik,Benzin,Hatchback/5,Bordo,1199.0,132.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,4042,Sındırgı,8,13,0,0,0,0,0.0,0,
3514,İstanbul,350000,2025-04-06 00:00:00,Peugeot,206,1.4 XR,2001,158000.0,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1360.0,76.0,Önden Çekiş,Takasa Uygun,Sahibinden,436.0,Küçükçekmece,8,0,0,3,1,9,1.0,0,500.0
3515,Ankara,210000,2025-04-06 00:00:00,Peugeot,206,1.4 XR,2000,260000.0,Düz,Benzin,Hatchback/5,Gri,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Keçiören,8,0,0,13,0,0,1.0,0,3000.0
3516,Ankara,245000,2025-04-06 00:00:00,Peugeot,206,1.4 XR,2000,248000.0,Otomatik,LPG & Benzin,Hatchback/3,Gri,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Sincan,8,12,0,1,0,0,0.0,0,
3517,Ankara,295000,2025-04-06 00:00:00,Peugeot,206,1.6 Roland Garros,2000,270000.0,Düz,LPG & Benzin,Hatchback/5,Yeşil (metalik),1587.0,110.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,436.0,Mamak,8,0,2,10,0,1,,0,
3518,İzmir,465000,2025-04-06 00:00:00,Peugeot,308,1.6 HDi Comfort,2010,193000.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1560.0,112.0,Önden Çekiş,Belirtilmemis,Galeriden,1.135,Kemalpaşa,8,0,1,1,1,10,1.0,0,30000.0
3519,Ankara,465000,2025-04-06 00:00:00,Peugeot,407,2.0 HDi Executive Premium,2006,354000.0,Düz,Dizel,Station wagon,Gri (metalik),1900.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,2487,Çankaya,8,0,0,6,0,7,,0,
3520,Konya,449000,2025-04-06 00:00:00,Peugeot,407,1.6 HDi Comfort,2006,253400.0,Düz,Dizel,Sedan,Lacivert,1560.0,112.0,Önden Çekiş,Takasa Uygun,Sahibinden,436.0,Selçuklu,8,0,3,1,0,9,1.0,0,2700.0
3521,Trabzon,375000,2025-04-06 00:00:00,Peugeot,207,1.4 HDi Trendy,2008,283000.0,Düz,Dizel,Hatchback/5,Siyah,1398.0,71.0,Önden Çekiş,Takasa Uygun,Sahibinden,993,Ortahisar,8,1,0,11,1,0,1.0,0,8000.0
3522,Konya,810000,2025-04-06 00:00:00,Peugeot,508,1.6 e-HDi Access,2014,220000.0,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1560.0,117.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,1.606,Selçuklu,8,0,0,1,2,10,1.0,0,37000.0
3523,Adana,425000,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Active,2016,240000.0,Düz,Dizel,Sedan,Beyaz,1560.0,93.0,Önden Çekiş,Takasa Uygun,Galeriden,1.606,Seyhan,8,7,2,3,1,0,1.0,0,34000.0
3524,Ankara,652500,2025-04-06 00:00:00,Peugeot,301,1.6 HDi Active,2016,127000.0,Düz,Dizel,Sedan,Füme,1560.0,93.0,Önden Çekiş,Belirtilmemis,Sahibinden,3661,Etimesgut,8,13,0,0,0,0,0.0,0,
3525,Sakarya,329999,2025-04-06 00:00:00,Peugeot,206,1.4 X-Design,2006,212000.0,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1360.0,76.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Adapazarı,8,0,0,10,2,1,1.0,0,45000.0
3526,Van,595000,2025-04-06 00:00:00,Peugeot,301,1.6 BlueHDI Active,2018,211000.0,Düz,Dizel,Sedan,Beyaz,1560.0,102.0,Önden Çekiş,Belirtilmemis,Sahibinden,4389,Edremit,8,0,2,0,1,10,0.0,0,
3527,İstanbul,465000,2025-04-06 00:00:00,Peugeot,308,1.6 VTi Comfort,2009,148000.0,Otomatik,Benzin,Hatchback/5,Siyah,1598.0,122.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Güngören,8,6,2,3,0,2,1.0,0,1300.0
3528,İstanbul,994750,2025-04-06 00:00:00,Peugeot,208,1.2 PureTech Prime,2021,45000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1199.0,101.0,Önden Çekiş,Takasa Uygun,Galeriden,4042,Bağcılar,8,12,1,0,0,0,,0,
3529,İstanbul,1488950,2025-04-06 00:00:00,Peugeot,508,1.5 BlueHDI Prime,2022,38000.0,Otomatik,Dizel,Sedan,Gri,1499.0,130.0,Önden Çekiş,Takasa Uygun,Galeriden,4.434,Bağcılar,8,13,0,0,0,0,,0,
3531,Bursa,310000,2025-04-06 00:00:00,Peugeot,206,1.6 XT,2001,290000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1587.0,109.0,Önden Çekiş,Takasa Uygun,Galeriden,436.0,Gemlik,8,13,0,0,0,0,,0,
3532,İstanbul,497000,2025-04-06 00:00:00,Peugeot,301,1.6 BlueHDI Active,2018,209000.0,Düz,Dizel,Sedan,Beyaz,1560.0,102.0,Önden Çekiş,Takasa Uygun Değil,Galeriden,1.606,Bağcılar,8,10,0,1,2,0,,0,
3533,İstanbul,410000,2025-04-06 00:00:00,Peugeot,407,1.6 HDi Millesim,2011,310000.0,Düz,Dizel,Sedan,Siyah,1560.0,112.0,Önden Çekiş,Takasa Uygun Değil,Galeriden,1.135,Silivri,8,0,0,0,0,13,1.0,0,11000.0
3534,Adana,520000,2025-04-06 00:00:00,Peugeot,208,1.6 VTi Active,2012,132000.0,Otomatik,LPG & Benzin,Hatchback/5,Siyah,1598.0,122.0,Önden Çekiş,Takasa Uygun,Galeriden,1.135,Seyhan,8,8,0,5,0,0,,0,
3535,Kocaeli,335900,2025-04-06 00:00:00,Peugeot,307,1.4 HDi XR,2004,239900.0,Düz,Dizel,Hatchback/5,Beyaz,1398.0,69.0,Önden Çekiş,Takasa Uygun,Galeriden,436.0,Derince,8,13,0,0,0,0,0.0,0,
3536,İzmir,669000,2025-04-06 00:00:00,Peugeot,208,1.6 HDi Active,2016,116000.0,Düz,Dizel,Hatchback/5,Beyaz,1560.0,93.0,Önden Çekiş,Takasa Uygun,Galeriden,1.606,Urla,8,13,0,0,0,0,,0,
3537,İstanbul,779000,2025-04-07 00:00:00,Renault,Clio,1.0 TCe Touch,2020,35000.0,Düz,Benzin,Hatchback/5,Kırmızı,999.0,90.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,4042,Bağcılar,7,12,0,0,1,0,1.0,0,7200.0
3538,İstanbul,275000,2025-04-08 00:00:00,Renault,Clio,1.5 dCi Authentique,2006,305000.0,Düz,Dizel,Hatchback/3,Mavi,1461.0,68.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Ümraniye,6,1,0,8,1,3,,0,
3539,Aydın,392500,2025-04-09 00:00:00,Renault,Clio,1.5 dCi Alize,2006,237000.0,Düz,Dizel,Sedan,Beyaz,1461.0,65.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Söke,5,0,0,1,0,12,,0,
3540,İstanbul,715000,2025-04-07 00:00:00,Renault,Fluence,1.5 dCi Icon,2015,212000.0,Yarı Otomatik,Dizel,Sedan,Lacivert,1461.0,110.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,1.606,Başakşehir,7,8,0,5,0,0,1.0,0,11000.0
3541,Isparta,677000,2025-04-07 00:00:00,Renault,Fluence,1.5 dCi Touch Plus,2015,229000.0,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1461.0,110.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,1.606,Merkez,7,0,0,1,0,12,1.0,0,4288.0
3542,Zonguldak,225000,2025-04-07 00:00:00,Renault,Laguna,1.6 RXE,2001,310000.0,Düz,LPG & Benzin,Hatchback/5,Lacivert,1598.0,107.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Alaplı,7,13,0,0,0,0,,0,
3543,Muğla,225000,2025-04-07 00:00:00,Renault,R 12,Toros,1997,75000.0,Düz,Benzin,Sedan,Beyaz,1397.0,72.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,436.0,Fethiye,7,13,0,0,0,0,,0,
3544,İstanbul,810000,2025-04-06 00:00:00,Renault,Megane,1.6 Joy,2017,150000.0,Düz,Benzin,Sedan,Gri (Gümüş),1598.0,115.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,1.606,Eyüpsultan,8,10,1,1,1,0,0.0,0,
3545,Erzurum,755000,2025-04-06 00:00:00,Renault,Clio,1.5 dCi Touch,2017,219000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461.0,90.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,1.606,Narman,8,13,0,0,0,0,0.0,0,
3546,Balıkesir,605000,2025-04-05 00:00:00,Renault,Clio,1.5 dCi Icon,2014,202350.0,Düz,Dizel,Hatchback/5,Beyaz,1461.0,90.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,1.606,Gönen,9,12,0,1,0,0,0.0,0,
3547,Gaziantep,1120000,2025-04-05 00:00:00,Renault,Megane,1.5 Blue DCI Joy Comfort,2022,149800.0,Otomatik,Dizel,Sedan,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,10112,Şehitkamil,9,13,0,0,0,0,0.0,0,
3548,İstanbul,1295000,2025-04-05 00:00:00,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,16000.0,Otomatik,Benzin,Hatchback/5,Gri,999.0,90.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,5803,Üsküdar,9,13,0,0,0,0,0.0,0,
3549,Mardin,429000,2025-04-04 00:00:00,Renault,Fluence,1.5 dCi Joy,2013,220000.0,Düz,Dizel,Sedan,Beyaz,1461.0,90.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,1.135,Mazıdağı,10,2,0,11,0,0,,0,
3550,Burdur,295000,2025-04-04 00:00:00,Renault,Clio,1.5 dCi Authentique,2005,298000.0,Düz,Dizel,Sedan,Gri,1461.0,65.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,436.0,Merkez,10,0,0,8,0,5,1.0,0,5000.0
3551,Yozgat,1035000,2025-04-03 00:00:00,Renault,Megane,1.5 dCi Touch,2018,98000.0,Otomatik,Dizel,Sedan,Gri,1500.0,113.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,4389,Saraykent,11,11,0,2,0,0,,0,
3552,Samsun,355000,2025-04-03 00:00:00,Renault,Symbol,1.5 dCi Authentique,2010,276000.0,Düz,Dizel,Sedan,Gri (Gümüş),1461.0,65.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,2587,İlkadım,11,0,0,1,1,11,,0,
3553,Ankara,729000,2025-04-02 00:00:00,Renault,Clio,1.5 dCi Joy,2018,105000.0,Düz,Dizel,Hatchback/5,Beyaz,1461.0,75.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,4389,Mamak,12,11,0,2,0,0,1.0,0,1200.0
3554,Kocaeli,520000,2025-04-02 00:00:00,Renault,Megane,1.6 Extreme,2008,197000.0,Düz,LPG & Benzin,Sedan,Bej,1598.0,110.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,436.0,Darıca,12,11,1,1,0,0,1.0,0,1748.0
3555,Hatay,832000,2025-04-02 00:00:00,Renault,Clio,1.0 TCe Joy,2021,103000.0,Otomatik,Benzin,Hatchback/5,Beyaz,999.0,90.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,4042,Defne,12,11,0,2,0,0,1.0,0,2072.0
3556,Kayseri,1209950,2025-04-02 00:00:00,Renault,Megane,1.3 TCe Joy,2021,13000.0,Otomatik,Benzin,Sedan,Beyaz,1300.0,138.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,4042,Kocasinan,12,13,0,0,0,0,,0,
3557,Ankara,220000,2025-04-02 00:00:00,Renault,Clio,1.4 RTA,1998,225000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1390.0,75.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,436.0,Mamak,12,0,0,0,0,13,,0,
3558,İzmir,550000,2025-04-01 00:00:00,Renault,Clio,1.5 dCi Extreme,2011,175000.0,Düz,Dizel,Hatchback/5,Kırmızı,1461.0,70.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Menderes,13,0,0,5,1,7,1.0,0,16000.0
3559,Yozgat,340000,2025-03-28 00:00:00,Renault,Clio,1.4 Alize,2005,257000.0,Düz,Benzin,Sedan,Gri (Gümüş),1390.0,98.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,436.0,Merkez,17,0,0,0,0,13,,0,
3560,Bolu,1175000,2025-03-27 00:00:00,Renault,Megane,1.3 TCe Joy Comfort,2022,73500.0,Otomatik,Benzin,Sedan,Siyah,1300.0,138.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,5803,Merkez,18,12,0,1,0,0,,0,
3561,Mardin,365000,2025-03-26 00:00:00,Renault,Megane,1.5 dCi Dynamique,2007,285000.0,Düz,Dizel,Sedan,Siyah,1461.0,106.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,436.0,Mazıdağı,19,11,0,0,2,0,,0,
3562,Konya,485000,2025-03-25 00:00:00,Renault,Fluence,1.5 dCi Business,2012,275000.0,Düz,Dizel,Sedan,Gri (Gümüş),1461.0,110.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Selçuklu,20,0,1,1,2,9,1.0,0,3000.0
3563,Kocaeli,789000,2025-04-09 00:00:00,Renault,Clio,1.5 dCi Touch,2018,135000.0,Otomatik,Dizel,Hatchback/5,Beyaz,1500.0,88.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,4389,Çayırova,5,10,2,0,1,0,,0,
3564,İzmir,749000,2025-04-09 00:00:00,Renault,Clio,0.9 TCe Joy,2020,38850.0,Düz,Benzin,Hatchback/5,Beyaz,898.0,90.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,4042,Ödemiş,5,13,0,0,0,0,0.0,0,
3567,İzmir,395000,2025-03-20 00:00:00,Renault,Clio,1.2 Expression,2009,196000.0,Düz,Benzin,Hatchback/5,Gri (metalik),1149.0,75.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,219.0,Bornova,25,0,0,8,1,4,0.0,0,
3568,Mersin,345047,2025-03-20 00:00:00,Renault,Scenic,1.9 dCi Expression,2003,240000.0,Düz,Dizel,MPV,Gri,1870.0,102.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,1.198,Yenişehir,25,10,3,0,0,0,0.0,0,
3569,İstanbul,450000,2025-03-18 00:00:00,Renault,Clio,1.5 dCi Extreme,2008,165000.0,Düz,Dizel,Hatchback/3,Mavi,1461.0,65.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,436.0,Fatih,27,7,0,6,0,0,1.0,0,2900.0
3570,Siirt,1080000,2025-03-12 00:00:00,Renault,Megane,1.5 Blue DCI Joy,2020,116000.0,Otomatik,Dizel,Sedan,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,7577,Merkez,33,13,0,0,0,0,,0,
3571,İstanbul,365000,2025-03-05 00:00:00,Renault,Clio,1.5 dCi Authentique,2007,283000.0,Düz,Dizel,Sedan,Gri (metalik),1461.0,65.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Esenyurt,40,6,2,4,1,0,,0,
3572,Osmaniye,904501,2025-02-28 00:00:00,Renault,Clio,1.5 dCi Icon,2017,107000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461.0,90.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,1.606,Merkez,45,0,1,0,0,12,1.0,0,3400.0
3573,İzmir,659000,2025-02-22 00:00:00,Renault,Clio,1.0 SCe Joy,2021,118000.0,Düz,Benzin,Hatchback/5,Beyaz,999.0,65.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,4042,Karabağlar,51,13,0,0,0,0,0.0,0,
3575,Mersin,1150000,2025-04-07 00:00:00,Renault,Megane,1.5 Blue DCI Touch,2020,110000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461.0,115.0,Önden Çekiş,Belirtilmemis,Sahibinden,7577,Silifke,7,0,0,0,0,13,,0,
