,City,Price(TL),ListingDate,Brand,Series,Model,Year,Kilometers,GearType,FuelType,BodyType,Color,EngineSize,EnginePower,DriveType,TradeInStatus,SellerType,VehicleTax(),District,DaysSinceListing,NumOriginalParts,NumLocalPaintedParts,NumPaintedParts,NumChangedParts,NumUnknownParts,HasDamage,HasHighDamage,DamageCost
30,İstanbul,1125000,2025-04-07 00:00:00,Audi,A5,A5 Sportback 2.0 TDI,2011,174000.0,Otomatik,Dizel,Coupe,Gri,1900.0,163.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,6314,Başakşehir,7,7,1,5,0,0,,0,
31,İstanbul,1799999,2025-04-07 00:00:00,Audi,A3,A3 Sedan 35 TFSI Advanced,2021,95000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,138.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,7577,Beylikdüzü,7,10,3,0,0,0,,0,
32,Karabük,840000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI,2009,360000.0,Otomatik,Dizel,Sedan,Siyah,1968.0,136.0,Önden Çekiş,Belirtilmemis,Sahibinden,2487,Merkez,7,0,0,0,0,13,,0,
33,İstanbul,1489900,2025-04-07 00:00:00,Audi,A3,A3 Sedan 35 TFSI Dynamic,2020,56500.0,Otomatik,Benzin,Sedan,Siyah,1500.0,138.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,7577,Beşiktaş,7,9,4,0,0,0,,0,
34,İstanbul,7270000,2025-04-07 00:00:00,Audi,A7,45 TFSI,2024,6100.0,Otomatik,Benzin,Hatchback/5,Siyah,1900.0,263.0,4WD (Sürekli),Takasa Uygun,Belirtilmemis,28142,Ümraniye,7,13,0,0,0,0,,0,
35,Kayseri,1795000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI,2016,311000.0,Otomatik,Dizel,Sedan,Siyah,1900.0,188.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,10613,Kocasinan,7,10,2,0,1,0,,0,
36,Bursa,755000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Attraction,2011,213000.0,Otomatik,Dizel,Hatchback/5,Siyah,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,2587,Nilüfer,7,13,0,0,0,0,,0,
37,Şanlıurfa,1820000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 30 TDI Sport,2019,52000.0,Otomatik,Dizel,Sedan,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,7577,Siverek,7,13,0,0,0,0,,0,
38,İzmir,965000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.6 TDI S Line,2015,276500.0,Otomatik,Dizel,Sedan,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,3661,Menemen,7,13,0,0,0,0,,0,
39,İstanbul,4600000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 45 TFSI Quattro Sport,2023,45000.0,Otomatik,Benzin,Sedan,Gri,1900.0,263.0,4WD (Sürekli),Takasa Uygun,Belirtilmemis,28142,Üsküdar,7,13,0,0,0,0,,0,
40,İstanbul,3274950,2025-04-07 00:00:00,Audi,A4,A4 Sedan 40 TDI Quattro Advanced,2024,9700.0,Otomatik,Dizel,Sedan,Siyah,1900.0,213.0,4WD (Sürekli),Takasa Uygun,Belirtilmemis,28142,Pendik,7,13,0,0,0,0,,0,
41,Kocaeli,800000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.4 TFSI Ambiente,2010,235000.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1390.0,125.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,İzmit,6,0,5,1,0,7,1.0,0,30000.0
42,İzmir,755000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Attraction,2013,200000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,105.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,2587,Karşıyaka,7,0,1,1,1,10,1.0,0,3000.0
44,Siirt,595000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 Attraction,2006,256060.0,Otomatik,LPG & Benzin,Hatchback/5,Gri (titanyum),1595.0,102.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Merkez,6,2,0,7,2,2,1.0,0,8000.0
45,Antalya,520000,2025-04-08 00:00:00,Audi,A4,A4 Sedan 2.0 TDI,2005,378000.0,Otomatik,Dizel,Sedan,Gri (Gümüş),1968.0,140.0,Önden Çekiş,Takasa Uygun,Sahibinden,2487,Kepez,6,0,0,8,2,3,,0,
46,İstanbul,375000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 FSI,2006,307000.0,Düz,Benzin,Hatchback/3,Siyah,1595.0,115.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Beylikdüzü,6,0,2,2,1,8,,0,
47,Mersin,550000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 2.0 TDI Ambition,2006,288000.0,Düz,Dizel,Hatchback/3,Siyah,1968.0,140.0,Önden Çekiş,Belirtilmemis,Sahibinden,2487,Akdeniz,6,0,6,5,0,2,,0,
48,İstanbul,720000,2025-04-08 00:00:00,Audi,A4,A4 Sedan 2.0 TFSI Quattro,2007,175000.0,Otomatik,Benzin,Sedan,Beyaz,1984.0,200.0,4WD (Sürekli),Belirtilmemis,Sahibinden,2487,Ataşehir,6,0,0,1,2,10,0.0,0,
49,Şanlıurfa,665000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 FSI,2007,142000.0,Düz,Benzin,Hatchback/5,Siyah,1595.0,115.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Karaköprü,6,0,0,4,0,9,1.0,0,900.0
50,İstanbul,1200000,2025-04-08 00:00:00,Audi,A3,A3 Sedan 1.6 TDI Attraction,2016,166000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1598.0,110.0,Önden Çekiş,Belirtilmemis,Sahibinden,3661,Bağcılar,6,0,1,1,0,11,,0,
